,prompt,A,B,C,D,answer,queries
2615,Which protist is a bi-flagellate autotroph?,amoeba,euglena,paramecium,volvox,D,"what is the best possible answer for this question: Which protist is a bi-flagellate autotroph?
 (A) euglena
 (B) euglena
 (C) paramecium
 (D) volvox
"
97341,"If you want to study a flower closely, use",an enlarger,a fork,a mirror,a telescope,A,"what is the best possible answer for this question: If you want to study a flower closely, use
 (A) a fork
 (B) a fork
 (C) a mirror
 (D) a telescope
"
96252,Which of the following prolongs combustion?,fire extinguishers,water,smothering,candle wax,D,"what is the best possible answer for this question: Which of the following prolongs combustion?
 (A) water
 (B) water
 (C) smothering
 (D) candle wax
"
94399,Which is most likely a pollinating animal?,bear,spider,Anthophila,crocodile,C,"what is the best possible answer for this question: Which is most likely a pollinating animal?
 (A) spider
 (B) spider
 (C) Anthophila
 (D) crocodile
"
1234,Which is the thickest layer of Earth?,crust,inner core,mantle,outer core,C,"what is the best possible answer for this question: Which is the thickest layer of Earth?
 (A) inner core
 (B) inner core
 (C) mantle
 (D) outer core
"
97845,"Aside from plants, lizards also eat bugs for",singing,crying,nothing,sustenance,D,"what is the best possible answer for this question: Aside from plants, lizards also eat bugs for
 (A) crying
 (B) crying
 (C) nothing
 (D) sustenance
"
95571,When a wildfire happens what catches fire?,rocks,timberland,water,rivers,B,"what is the best possible answer for this question: When a wildfire happens what catches fire?
 (A) timberland
 (B) timberland
 (C) water
 (D) rivers
"
96982,Which is likely made of molecules?,empty space,an osprey,one's soul,nothingness,B,"what is the best possible answer for this question: Which is likely made of molecules?
 (A) an osprey
 (B) an osprey
 (C) one's soul
 (D) nothingness
"
94985,transpiration happens in the leaves of what?,rocks,shrubbery,cars,animals,B,"what is the best possible answer for this question: transpiration happens in the leaves of what?
 (A) shrubbery
 (B) shrubbery
 (C) cars
 (D) animals
"
97866,Gloves over hands protect what from feeling,the feet,the soul,nerves,the mind,C,"what is the best possible answer for this question: Gloves over hands protect what from feeling
 (A) the soul
 (B) the soul
 (C) nerves
 (D) the mind
"
94960,Some human activities may create brackish like,swimming tubs,buildings,ships,cars,A,"what is the best possible answer for this question: Some human activities may create brackish like
 (A) buildings
 (B) buildings
 (C) ships
 (D) cars
"
92838,Which of these is an organism that is unicellular?,virus,amoeba,mushroom,ant,B,"what is the best possible answer for this question: Which of these is an organism that is unicellular?
 (A) amoeba
 (B) amoeba
 (C) mushroom
 (D) ant
"
93835,examples of pollution include all but,acid rain,smog,chemical run-off,laundry soup,D,"what is the best possible answer for this question: examples of pollution include all but
 (A) smog
 (B) smog
 (C) chemical run-off
 (D) laundry soup
"
98000,Why might a polar bear grow white hair?,blend in,stand out,random,look fancy,A,"what is the best possible answer for this question: Why might a polar bear grow white hair?
 (A) stand out
 (B) stand out
 (C) random
 (D) look fancy
"
97991,The looseness of soil increases the amount of what in it?,bugs,dirt,water,air,D,"what is the best possible answer for this question: The looseness of soil increases the amount of what in it?
 (A) dirt
 (B) dirt
 (C) water
 (D) air
"
97876,It is vital to your health to have a,good time,jet ski,plane,colony of bacteria,D,"what is the best possible answer for this question: It is vital to your health to have a
 (A) jet ski
 (B) jet ski
 (C) plane
 (D) colony of bacteria
"
96035,"If an icicle melts, or steam condenses, that matter would",sing,fry,rot,dribble,D,"what is the best possible answer for this question: If an icicle melts, or steam condenses, that matter would
 (A) fry
 (B) fry
 (C) rot
 (D) dribble
"
95975,Which of these places is worst for growing oregano?,field,farm,greenhouse,cave,D,"what is the best possible answer for this question: Which of these places is worst for growing oregano?
 (A) farm
 (B) farm
 (C) greenhouse
 (D) cave
"
97682,Some animals escape predators by moving how?,slowly,happily,briskly,steadily,C,"what is the best possible answer for this question: Some animals escape predators by moving how?
 (A) happily
 (B) happily
 (C) briskly
 (D) steadily
"
93172,Which part of the atom has a negative charge?,neutron,nucleus,electron,proton,C,"what is the best possible answer for this question: Which part of the atom has a negative charge?
 (A) nucleus
 (B) nucleus
 (C) electron
 (D) proton
"
94868,Peddling a bicycle can be accomplished by,dolphins,dogs,possessors of thumbs,emus,C,"what is the best possible answer for this question: Peddling a bicycle can be accomplished by
 (A) dogs
 (B) dogs
 (C) possessors of thumbs
 (D) emus
"
94099,as Ford lost customers it's earnings,plummeted,raised,stayed the same,fluctuated,A,"what is the best possible answer for this question: as Ford lost customers it's earnings
 (A) raised
 (B) raised
 (C) stayed the same
 (D) fluctuated
"
96957,A learned characteristic could be,Eye color,a cartwheel,freckles,Hair color,B,"what is the best possible answer for this question: A learned characteristic could be
 (A) a cartwheel
 (B) a cartwheel
 (C) freckles
 (D) Hair color
"
98406,Feeling is when a living thing senses through what?,sight,smell,contact,taste,C,"what is the best possible answer for this question: Feeling is when a living thing senses through what?
 (A) smell
 (B) smell
 (C) contact
 (D) taste
"
93812,the top layer of soil contains the most nutrients where I,hike,wade,jog,skate,A,"what is the best possible answer for this question: the top layer of soil contains the most nutrients where I
 (A) wade
 (B) wade
 (C) jog
 (D) skate
"
98135,A moth undergoes what?,migration,stage conversion,amelioration,surgery,B,"what is the best possible answer for this question: A moth undergoes what?
 (A) stage conversion
 (B) stage conversion
 (C) amelioration
 (D) surgery
"
4351,Which form of energy is found in food?,chemical,electrical,sound,mechanical,A,"what is the best possible answer for this question: Which form of energy is found in food?
 (A) electrical
 (B) electrical
 (C) sound
 (D) mechanical
"
96705,"Regarding food, animals are",decomposers,something else,consumers,producers,C,"what is the best possible answer for this question: Regarding food, animals are
 (A) something else
 (B) something else
 (C) consumers
 (D) producers
"
94153,Viruses are killed by objects used in a,backyard,bathroom,kitchen,living room,C,"what is the best possible answer for this question: Viruses are killed by objects used in a
 (A) bathroom
 (B) bathroom
 (C) kitchen
 (D) living room
"
96493,Bluebirds have a strong sense of what?,Magic,Imagination,Family,Justice,C,"what is the best possible answer for this question: Bluebirds have a strong sense of what?
 (A) Imagination
 (B) Imagination
 (C) Family
 (D) Justice
"
1565,All matter is made up of particles called,cells,molecules,atoms,compounds,C,"what is the best possible answer for this question: All matter is made up of particles called
 (A) molecules
 (B) molecules
 (C) atoms
 (D) compounds
"
97468,What do you need to see a rainbow?,water,sea monsters,bats,leprechauns,A,"what is the best possible answer for this question: What do you need to see a rainbow?
 (A) sea monsters
 (B) sea monsters
 (C) bats
 (D) leprechauns
"
95042,A boy wants to feed a gecko so he gives it,waxworms,dog food,chickens,markers,A,"what is the best possible answer for this question: A boy wants to feed a gecko so he gives it
 (A) dog food
 (B) dog food
 (C) chickens
 (D) markers
"
93887,Heavy rains cause flooding which,soak fields,create dams,feed fish,ruin crops,D,"what is the best possible answer for this question: Heavy rains cause flooding which
 (A) create dams
 (B) create dams
 (C) feed fish
 (D) ruin crops
"
98148,Which Disney character was a herbivore?,Pluto,Cheshire Cat,Bambi,Simba,C,"what is the best possible answer for this question: Which Disney character was a herbivore?
 (A) Cheshire Cat
 (B) Cheshire Cat
 (C) Bambi
 (D) Simba
"
96062,"Within an ecosystem, producers are likely to be",liquid,bloody,diamond,budding,D,"what is the best possible answer for this question: Within an ecosystem, producers are likely to be
 (A) bloody
 (B) bloody
 (C) diamond
 (D) budding
"
94571,What will receive more sunlight?,Elephant Ear Leaves,Blades of grass,A bat,A worm,A,"what is the best possible answer for this question: What will receive more sunlight?
 (A) Blades of grass
 (B) Blades of grass
 (C) A bat
 (D) A worm
"
95126,A chemical change is likely to happen in which body part?,stomach,heart,leg,ear,A,"what is the best possible answer for this question: A chemical change is likely to happen in which body part?
 (A) heart
 (B) heart
 (C) leg
 (D) ear
"
96431,"If a pull is strong somewhere, it likely has",snakes,magnitude,water,frames,B,"what is the best possible answer for this question: If a pull is strong somewhere, it likely has
 (A) magnitude
 (B) magnitude
 (C) water
 (D) frames
"
94628,Do objects change size with distance for Stevie Wonder?,Yes,No,sometimes,maybe,B,"what is the best possible answer for this question: Do objects change size with distance for Stevie Wonder?
 (A) No
 (B) No
 (C) sometimes
 (D) maybe
"
95064,Echo is when sound reflects off of what?,atmosphere,tables,surface winds,sunlight,B,"what is the best possible answer for this question: Echo is when sound reflects off of what?
 (A) tables
 (B) tables
 (C) surface winds
 (D) sunlight
"
96830,High areas can be visually represented by:,deep sea,mountains,valleys,basins,B,"what is the best possible answer for this question: High areas can be visually represented by:
 (A) mountains
 (B) mountains
 (C) valleys
 (D) basins
"
97086,Lighting a candle causes that candle to what?,cool,freeze,regenerate,scorch,D,"what is the best possible answer for this question: Lighting a candle causes that candle to what?
 (A) freeze
 (B) freeze
 (C) regenerate
 (D) scorch
"
97431,friction is used for stopping a vehicle by,running,singing,smelting,squeezing,D,"what is the best possible answer for this question: friction is used for stopping a vehicle by
 (A) singing
 (B) singing
 (C) smelting
 (D) squeezing
"
96647,Toy submarines bob up and down when put in a bowl of,rice,vinegar,ice,sand,B,"what is the best possible answer for this question: Toy submarines bob up and down when put in a bowl of
 (A) vinegar
 (B) vinegar
 (C) ice
 (D) sand
"
2017,Sound waves travel the fastest through,rock.,seawater.,space.,atmosphere.,A,"what is the best possible answer for this question: Sound waves travel the fastest through
 (A) seawater.
 (B) seawater.
 (C) space.
 (D) atmosphere.
"
98454,Items are all ultimately compromised of which?,Cells,Molecules,Air,Nerves,B,"what is the best possible answer for this question: Items are all ultimately compromised of which?
 (A) Molecules
 (B) Molecules
 (C) Air
 (D) Nerves
"
98202,Bacteria can cause people to become what?,unwell,energetic,vibrant,healthy,A,"what is the best possible answer for this question: Bacteria can cause people to become what?
 (A) energetic
 (B) energetic
 (C) vibrant
 (D) healthy
"
94317,evaporation is the first stage in the what cycle,H2O,lunar,growth,menstrual,A,"what is the best possible answer for this question: evaporation is the first stage in the what cycle
 (A) lunar
 (B) lunar
 (C) growth
 (D) menstrual
"
